Year,State,Fatality,Population
1989,Australian Capital Territory,32,279219
1989,New South Wales,959,5803079
1989,Northern Territory,61,162097
1989,Queensland,428,2864007
1989,South Australia,222,1425461
1989,Tasmania,80,458410
1989,Victoria,776,4348225
1989,Western Australia,242,1596225
1990,Australian Capital Territory,26,285012
1990,New South Wales,797,5862497
1990,Northern Territory,68,165047
1990,Queensland,399,2928713
1990,South Australia,226,1438882
1990,Tasmania,71,464520
1990,Victoria,548,4400707
1990,Western Australia,196,1624390
1991,Australian Capital Territory,17,291523
1991,New South Wales,663,5928072
1991,Northern Territory,67,167043
1991,Queensland,395,2990441
1991,South Australia,184,1450862
1991,Tasmania,77,468549
1991,Victoria,503,4435083
1991,Western Australia,207,1647408
1992,Australian Capital Territory,20,296519
1992,New South Wales,649,5977823
1992,Northern Territory,54,170420
1992,Queensland,416,3057138
1992,South Australia,165,1457241
1992,Tasmania,74,471258
1992,Victoria,396,4458219
1992,Western Australia,200,1668515
1993,Australian Capital Territory,12,300490
1993,New South Wales,581,6020171
1993,Northern Territory,44,173590
1993,Queensland,396,3130986
1993,South Australia,218,1461102
1993,Tasmania,58,472983
1993,Victoria,435,4466738
1993,Western Australia,209,1690348
1994,Australian Capital Territory,17,303289
1994,New South Wales,646,6071872
1994,Northern Territory,41,176761
1994,Queensland,418,3198877
1994,South Australia,159,1463977
1994,Tasmania,59,474076
1994,Victoria,377,4483205
1994,Western Australia,211,1718549
1995,Australian Capital Territory,15,307022
1995,New South Wales,620,6143971
1995,Northern Territory,61,182829
1995,Queensland,456,3271743
1995,South Australia,181,1466605
1995,Tasmania,57,475148
1995,Victoria,418,4517353
1995,Western Australia,209,1751933
1996,Australian Capital Territory,23,310655
1996,New South Wales,581,6214548
1996,Northern Territory,72,187342
1996,Queensland,385,3330579
1996,South Australia,181,1471997
1996,Tasmania,64,475529
1996,Victoria,417,4552904
1996,Western Australia,247,1783556
1997,Australian Capital Territory,17,310281
1997,New South Wales,576,6274966
1997,Northern Territory,60,191259
1997,Queensland,360,3380394
1997,South Australia,148,1479003
1997,Tasmania,32,474215
1997,Victoria,377,4586156
1997,Western Australia,197,1810928
1998,Australian Capital Territory,22,312300
1998,New South Wales,556,6338790
1998,Northern Territory,69,194390
1998,Queensland,279,3427505
1998,South Australia,168,1487042
1998,Tasmania,48,473450
1998,Victoria,390,4629345
1998,Western Australia,223,1840078
1999,Australian Capital Territory,19,315431
1999,New South Wales,577,6409971
1999,Northern Territory,49,197757
1999,Queensland,314,3481034
1999,South Australia,151,1495218
1999,Tasmania,53,473294
1999,Victoria,383,4677581
1999,Western Australia,218,1866265
2000,Australian Capital Territory,18,318941
2000,New South Wales,603,6485081
2000,Northern Territory,51,200045
2000,Queensland,317,3537670
2000,South Australia,166,1500129
2000,Tasmania,43,473200
2000,Victoria,407,4730855
2000,Western Australia,212,1892531
2001,Australian Capital Territory,16,322874
2001,New South Wales,524,6558484
2001,Northern Territory,50,201751
2001,Queensland,324,3611203
2001,South Australia,153,1507825
2001,Tasmania,61,473890
2001,Victoria,444,4790212
2001,Western Australia,165,1917752
2002,Australian Capital Territory,10,325950
2002,New South Wales,561,6599441
2002,Northern Territory,55,201549
2002,Queensland,322,3700791
2002,South Australia,154,1515723
2002,Tasmania,37,475998
2002,Victoria,397,4845024
2002,Western Australia,179,1938610
2003,Australian Capital Territory,11,327596
2003,New South Wales,539,6634509
2003,Northern Territory,53,201708
2003,Queensland,310,3788560
2003,South Australia,157,1524727
2003,Tasmania,41,481411
2003,Victoria,330,4900176
2003,Western Australia,180,1966130
2004,Australian Capital Territory,9,329498
2004,New South Wales,510,6669206
2004,Northern Territory,35,203857
2004,Queensland,311,3872351
2004,South Australia,139,1532562
2004,Tasmania,58,484778
2004,Victoria,343,4957147
2004,Western Australia,178,1994241
2005,Australian Capital Territory,26,333505
2005,New South Wales,508,6718023
2005,Northern Territory,55,207385
2005,Queensland,330,3964175
2005,South Australia,148,1544852
2005,Tasmania,51,488098
2005,Victoria,346,5023203
2005,Western Australia,163,2029936
2006,Australian Capital Territory,13,338381
2006,New South Wales,496,6786160
2006,Northern Territory,45,211029
2006,Queensland,335,4055845
2006,South Australia,117,1561300
2006,Tasmania,55,491515
2006,Victoria,337,5103965
2006,Western Australia,200,2076867
2007,Australian Capital Territory,14,344176
2007,New South Wales,435,6883852
2007,Northern Territory,58,216618
2007,Queensland,360,4159990
2007,South Australia,124,1578489
2007,Tasmania,45,495858
2007,Victoria,332,5199503
2007,Western Australia,235,2135006
2008,Australian Capital Territory,14,351101
2008,New South Wales,374,7001782
2008,Northern Territory,75,222526
2008,Queensland,328,4275551
2008,South Australia,99,1597880
2008,Tasmania,39,501774
2008,Victoria,303,5313285
2008,Western Australia,205,2208928
2009,Australian Capital Territory,12,357859
2009,New South Wales,454,7101504
2009,Northern Territory,31,227783
2009,Queensland,331,4367454
2009,South Australia,119,1618578
2009,Tasmania,63,506461
2009,Victoria,290,5419249
2009,Western Australia,191,2263747
2010,Australian Capital Territory,19,364833
2010,New South Wales,405,7179891
2010,Northern Territory,50,230299
2010,Queensland,249,4436882
2010,South Australia,118,1632482
2010,Tasmania,31,510219
2010,Victoria,288,5495711
2010,Western Australia,193,2319063
2011,Australian Capital Territory,6,372070
2011,New South Wales,364,7258722
2011,Northern Territory,45,232952
2011,Queensland,269,4518649
2011,South Australia,103,1647183
2011,Tasmania,24,511739
2011,Victoria,287,5591818
2011,Western Australia,179,2385947
2012,Australian Capital Territory,12,379812
2012,New South Wales,369,7353189
2012,Northern Territory,49,238728
2012,Queensland,280,4611304
2012,South Australia,94,1663082
2012,Tasmania,31,511813
2012,Victoria,282,5709586
2012,Western Australia,183,2457489
2013,Australian Capital Territory,7,386318
2013,New South Wales,333,7454938
2013,Northern Territory,37,242304
2013,Queensland,271,4685439
2013,South Australia,98,1678052
2013,Tasmania,36,513015
2013,Victoria,243,5832585
2013,Western Australia,162,2502188
2014,Australian Capital Territory,10,391981
2014,New South Wales,307,7562171
2014,Northern Territory,39,242753
2014,Queensland,223,4747263
2014,South Australia,108,1693107
2014,Tasmania,33,514040
2014,Victoria,248,5957512
2014,Western Australia,183,2528619
2015,Australian Capital Territory,15,398874
2015,New South Wales,350,7671401
2015,Northern Territory,49,244090
2015,Queensland,243,4804933
2015,South Australia,102,1705937
2015,Tasmania,34,515694
2015,Victoria,252,6093049
2015,Western Australia,159,2547745
2016,Australian Capital Territory,10,407489
2016,New South Wales,380,7801785
2016,Northern Territory,45,246183
2016,Queensland,251,4883821
2016,South Australia,86,1717400
2016,Tasmania,37,519810
2016,Victoria,290,6244863
2016,Western Australia,193,2563708
2017,Australian Capital Territory,5,415874
2017,New South Wales,389,7919815
2017,Northern Territory,31,246858
2017,Queensland,247,4963072
2017,South Australia,100,1728494
2017,Tasmania,32,524969
2017,Victoria,259,6387081
2017,Western Australia,159,2582563
2018,Australian Capital Territory,9,423169
2018,New South Wales,347,8036665
2018,Northern Territory,50,245796
2018,Queensland,245,5050651
2018,South Australia,80,1743594
2018,Tasmania,32,531777
2018,Victoria,213,6528601
2018,Western Australia,158,2606394
2019,Australian Capital Territory,6,427892
2019,New South Wales,355,8130159
2019,Northern Territory,36,244989
2019,Queensland,219,5133278
2019,South Australia,114,1759783
2019,Tasmania,29,537907
2019,Victoria,266,6655284
2019,Western Australia,163,2642120
2020,Australian Capital Territory,5,429834
2020,New South Wales,236,8157735
2020,Northern Territory,20,245353
2020,Queensland,193,5160023
2020,South Australia,67,1767247
2020,Tasmania,26,539590
2020,Victoria,160,6689377
2020,Western Australia,105,2656156
,,,
